,timestamp,high,open,low,close,quantity,amount,date,ma_120,buy
0,1666828800,20872.21,20771.61,20200.0,20295.11,328643.57791,6771209922.01192,2022-10-27,,-1.0
1,1666915200,20750.0,20295.11,20000.09,20591.84,287039.94569,5849603405.68258,2022-10-28,,-1.0
2,1667001600,21085.0,20591.84,20554.01,20809.67,254881.77755,5303038321.45748,2022-10-29,,-1.0
3,1667088000,20931.21,20809.68,20515.0,20627.48,192795.60886,3994389493.32589,2022-10-30,,-1.0
4,1667174400,20845.92,20627.48,20237.95,20490.74,303567.61628,6226304300.44386,2022-10-31,,-1.0
5,1667260800,20700.0,20490.74,20330.74,20483.62,279932.43771,5740102554.92083,2022-11-01,,-1.0
6,1667347200,20800.0,20482.81,20048.04,20151.84,373716.27299,7633404092.43069,2022-11-02,,-1.0
7,1667433600,20393.32,20151.84,20031.24,20207.82,319185.1544,6461673165.23964,2022-11-03,,-1.0
8,1667520000,21302.05,20207.12,20180.96,21148.52,453694.39165,9409862204.9869,2022-11-04,,-1.0
9,1667606400,21480.65,21148.52,21080.65,21299.37,245621.98525,5240395528.9082,2022-11-05,,-1.0
10,1667692800,21365.27,21299.37,20886.13,20905.58,230036.97217,4877535058.4127,2022-11-06,,-1.0
11,1667779200,21069.77,20905.58,20384.89,20591.13,386977.60337,8035052131.59345,2022-11-07,,-1.0
12,1667865600,20700.88,20590.67,17166.83,18547.23,760705.362783,14758384309.8542,2022-11-08,,-1.0
13,1667952000,18587.76,18545.38,15588.0,15922.81,731926.929729,12737719697.394,2022-11-09,,-1.0
14,1668038400,18199.0,15922.68,15754.26,17601.15,608448.36432,10323294543.8804,2022-11-10,,-1.0
15,1668124800,17695.0,17602.45,16361.6,17070.31,393552.86492,6725273822.83781,2022-11-11,,-1.0
16,1668211200,17119.1,17069.98,16631.39,16812.08,167819.96035,2827930561.00638,2022-11-12,,-1.0
17,1668297600,16954.28,16813.16,16229.0,16329.85,184960.78846,3074280132.05352,2022-11-13,,-1.0
18,1668384000,17190.0,16331.78,15815.21,16619.46,380210.7775,6273920325.33683,2022-11-14,,-1.0
19,1668470400,17134.69,16617.72,16527.72,16900.57,282461.84391,4758545355.78683,2022-11-15,,-1.0
20,1668556800,17015.92,16900.57,16378.61,16662.76,261493.40809,4362538338.56532,2022-11-16,,-1.0
21,1668643200,16751.0,16661.61,16410.74,16692.56,228038.97873,3785204632.01422,2022-11-17,,-1.0
22,1668729600,17011.0,16692.56,16546.04,16700.45,214224.18184,3588467560.37312,2022-11-18,,-1.0
23,1668816000,16822.41,16699.43,16553.53,16700.68,104963.15558,1747627888.12955,2022-11-19,,-1.0
24,1668902400,16753.33,16700.68,16180.0,16280.23,154842.13478,2561165772.49571,2022-11-20,,-1.0
25,1668988800,16319.0,16279.5,15476.0,15781.29,324096.997753,5188798317.00415,2022-11-21,,-1.0
26,1669075200,16315.0,15781.29,15616.63,16226.94,239548.06623,3823612603.803,2022-11-22,,-1.0
27,1669161600,16706.0,16227.96,16160.2,16603.11,264927.70408,4368042618.50026,2022-11-23,,-1.0
28,1669248000,16812.63,16603.11,16458.05,16598.95,206565.92346,3431724405.65477,2022-11-24,,-1.0
29,1669334400,16666.0,16599.55,16342.81,16522.14,182089.49533,3003553172.22947,2022-11-25,,-1.0
30,1669420800,16701.99,16521.35,16385.0,16458.57,181804.81666,3011990387.64743,2022-11-26,,-1.0
31,1669507200,16600.0,16457.61,16401.0,16428.78,162025.47607,2679048565.5213,2022-11-27,,-1.0
32,1669593600,16487.04,16428.77,15995.27,16212.91,252695.40367,4096398587.35731,2022-11-28,,-1.0
33,1669680000,16548.71,16212.18,16100.0,16442.53,248106.25009,4072651066.99941,2022-11-29,,-1.0
34,1669766400,17249.0,16442.91,16428.3,17163.64,303019.80719,5123595199.50528,2022-11-30,,-1.0
35,1669852800,17324.0,17165.53,16855.01,16977.37,232818.18218,3972607179.86857,2022-12-01,,-1.0
36,1669939200,17105.73,16978.0,16787.85,17092.74,202372.2062,3432385161.66026,2022-12-02,,-1.0
37,1670025600,17188.98,17092.13,16858.74,16885.2,154542.57306,2622504252.86645,2022-12-03,,-1.0
38,1670112000,17202.84,16885.2,16878.25,17105.7,178619.13387,3040020095.05118,2022-12-04,,-1.0
