date,high,open,low,close,quantity,amount,ma7,ma20,ma60,ma120,ma453
2019-01-13,3611.1,3584.1,3441.3,3476.81,26385.757454,92882249.467379,3734.9085714285716,3762.4119999999994,3947.921333333333,,
2019-01-14,3671.87,3477.56,3467.02,3626.09,35235.211215,125631820.067051,3685.0,3756.4270000000006,3912.4661666666666,,
2019-01-15,3648.42,3626.08,3516.62,3553.06,34137.997459,122785440.228875,3627.5614285714287,3745.193,3877.418166666667,,
2019-01-16,3645.0,3553.06,3543.51,3591.84,27480.179977,98504455.2066654,3574.0171428571434,3746.3895,3843.4773333333333,,
2019-01-17,3634.7,3591.84,3530.39,3616.21,29755.440838,106709136.973243,3578.35,3735.2369999999996,3809.3808333333336,,
2019-01-18,3620.0,3613.32,3565.75,3594.87,22713.446755,81699723.5447914,3577.43,3730.2145000000005,3787.4615,,
2019-01-19,3720.0,3594.87,3594.23,3665.3,22171.578123,81354185.9032599,3589.1685714285713,3723.3840000000005,3772.5688333333333,,
2019-01-20,3693.73,3665.75,3475.0,3539.28,27901.938598,99767239.9538145,3598.092857142857,3715.2030000000004,3753.8723333333332,,
2019-01-21,3559.51,3539.26,3475.5,3526.9,19644.436839,69316548.7668555,3583.922857142857,3701.6910000000003,3739.820666666667,,
2019-01-22,3608.5,3526.88,3434.85,3570.93,29336.442967,103804480.11606,3586.475714285714,3687.3095000000003,3725.6593333333335,,
2019-01-23,3607.98,3570.41,3514.5,3552.82,24938.842698,88816396.3458354,3580.9014285714284,3676.6115,3719.3323333333333,,
2019-01-24,3589.0,3552.97,3529.22,3569.62,20826.25118,74037052.8663274,3574.2457142857143,3665.4919999999997,3710.7296666666666,,
2019-01-25,3587.15,3569.07,3522.51,3565.29,17608.346671,62634926.4552453,3570.02,3655.2084999999997,3705.7811666666666,,
2019-01-26,3662.94,3566.69,3545.0,3565.25,19476.532344,69841766.6469315,3555.727142857143,3634.0910000000003,3700.615166666667,,
2019-01-27,3579.0,3565.62,3486.0,3550.84,22735.598162,80743416.8465368,3557.378571428571,3612.8605000000002,3688.7150000000006,,
2019-01-28,3557.75,3550.05,3380.27,3434.15,40405.111401,139258708.764309,3544.128571428572,3586.8115000000007,3674.3535,4857.964666666667,
2019-01-29,3443.45,3434.0,3349.92,3411.04,29544.928977,100542807.464799,3521.287142857143,3559.031,3663.848833333333,4831.293250000001,
2019-01-30,3478.0,3410.04,3387.1,3458.18,23968.260243,82521122.8619176,3507.7671428571434,3552.6459999999997,3651.6515,4805.729833333333,
2019-01-31,3489.2,3457.5,3418.8,3434.1,29607.190253,101928346.976997,3488.407142857143,3544.2855000000004,3639.536333333333,4780.097333333333,
2019-02-01,3488.0,3434.1,3401.2,3462.07,25260.476159,87075914.2326683,3473.6614285714286,3538.2325000000005,3632.504,4753.9996666666675,
2019-02-02,3526.4,3462.2,3440.29,3504.77,17920.802,62134037.9753988,3465.0214285714287,3539.6305,3625.056166666667,4727.909000000001,
2019-02-03,3511.09,3504.06,3426.0,3458.11,19867.33639,68801620.0624161,3451.774285714286,3531.2314999999994,3619.8606666666665,4701.774333333334,
2019-02-04,3484.88,3458.11,3433.31,3463.22,23131.981108,80024258.2276661,3455.9271428571424,3526.7394999999997,3619.101833333333,4675.507333333333,
2019-02-05,3478.97,3463.22,3448.43,3471.59,25264.41503,87491347.0638149,3464.577142857143,3520.727,3620.235833333333,4648.828833333333,
2019-02-06,3482.72,3471.57,3380.0,3405.37,35310.244846,120500703.005157,3457.032857142857,3510.1850000000004,3620.1431666666667,4621.735166666666,
2019-02-07,3426.45,3407.0,3390.0,3398.4,18665.538638,63611505.7865722,3451.932857142857,3500.3615,3617.693666666667,4594.796833333333,
2019-02-08,3733.58,3398.4,3373.1,3659.04,47968.058013,170118212.461979,3480.0714285714284,3500.0485,3621.463,4573.183166666667,
2019-02-09,3680.02,3660.27,3625.13,3665.18,24759.833719,90488500.0676624,3502.9871428571428,3506.3435,3626.2095,4551.242916666666,
2019-02-10,3684.99,3665.18,3609.76,3680.06,23250.602634,84696423.9623375,3534.694285714286,3514.0015,3630.1271666666667,4529.135666666667,
2019-02-11,3684.9,3679.75,3615.53,3631.05,24954.614571,90731831.9042742,3558.6699999999996,3517.0074999999997,3635.610333333333,4506.566583333333,
